año;mes;inflación
2001;7;0.008794348
2001;8;-0.002831384
2001;9;0.003063588
2001;10;0.002681764
2001;11;0.000817236
2001;12;0.002895108
2002;1;0.008734271
2002;2;0.006677429
2002;3;0.008819885
2002;4;0.016112717
2002;5;0.011875133
2002;6;0.017709065
2002;7;0.04861207
2002;8;0.058277361
2002;9;0.031174165
2002;10;0.009654839
2002;11;0.004303132
2002;12;0.012556534
2003;1;0.018689392
2003;2;0.013557953
2003;3;0.012408925
2003;4;0.009501855
2003;5;0.003731551
2003;6;0.001609144
2003;7;0.004985873
2003;8;0.011631112
2003;9;0.008010026
2003;10;0.005243527
2003;11;0.00161325
2003;12;0.006549984
2004;1;0.021868999
2004;2;0.000156593
2004;3;0.006001774
2004;4;0.01234696
2004;5;0.010402788
2004;6;0.003296648
2004;7;0.010110201
2004;8;0.01181063
2004;9;0.002720348
2004;10;-0.003304888
2004;11;-0.002622983
2004;12;0.000893167
2005;1;0.003767785
2005;2;-4.939E-05
2005;3;0.004297145
2005;4;0.010278857
2005;5;0.000194723
2005;6;0.00267692
2005;7;0.012863453
2005;8;0.002108694
2005;9;0.007795313
2005;10;0.00313197
2005;11;-0.001182648
2005;12;0.002178649
2006;1;0.013657845
2006;2;0.006666977
2006;3;0.003195628
2006;4;0.005216749
2006;5;0.006291908
2006;6;0.003194742
2006;7;0.008507347
2006;8;0.007894262
2006;9;0.00537081
2006;10;-0.002003294
2006;11;0.000356856
2006;12;0.003745652
2007;1;0.017725455
2007;2;0.006111135
2007;3;0.008980867
2007;4;0.012211902
2007;5;0.007604078
2007;6;0.001349129
2007;7;0.008252284
2007;8;0.017288178
2007;9;0.004145971
2007;10;-0.002289265
2007;11;-0.002294518
2007;12;0.003039014
2008;1;0.007779234
2008;2;0.009141139
2008;3;0.011433633
2008;4;0.003303746
2008;5;0.008728081
2008;6;0.012821521
2008;7;0.004465673
2008;8;0.010167395
2008;9;0.006008419
2008;10;0.003309621
2008;11;0.001864336
2008;12;0.009303577
2009;1;0.007911808
2009;2;-0.002678571
2009;3;0.007684273
2009;4;-0.000407196
2009;5;0.004073621
2009;6;0.011359864
2009;7;0.009882936
2009;8;0.012314026
2009;9;0.002318696
2009;10;-0.000106769
2009;11;0.000569496
2009;12;0.004695671
2010;1;0.009347449
2010;2;0.005577577
2010;3;0.009488593
2010;4;0.001762389
2010;5;0.001586809
2010;6;0.002824178
2010;7;0.010852766
2010;8;0.011959365
2010;9;0.002988081
2010;10;0.006426993
2010;11;-0.000764984
2010;12;0.005259129
2011;1;0.0125
2011;2;0.009382716
2011;3;0.014187867
2011;4;0.003376749
2011;5;0.003269231
2011;6;0.003546099
2011;7;0.007544647
2011;8;0.005592417
2011;9;0.005090018
2011;10;0.00712745
2011;11;0.004190334
2011;12;0.007047478
2012;1;0.007366483
2012;2;0.008318099
2012;3;0.009881244
2012;4;0.008168761
2012;5;0.003917728
2012;6;0.003015521
2012;7;0.002652754
2012;8;0.009348267
2012;9;0.012145042
2012;10;0.011481354
2012;11;0.003499189
2012;12;-0.007314169
2013;1;0.019019877
2013;2;0.009920969
2013;3;0.006576757
2013;4;0.004466132
2013;5;0.003211198
2013;6;0.004349967
2013;7;0.007681621
2013;8;0.010380342
2013;9;0.013644755
2013;10;0.008235015
2013;11;0.002041938
2013;12;-0.007210596
2014;1;0.024394095
2014;2;0.016569051
2014;3;0.005837313
2014;4;-0.000602954
2014;5;0.003167421
2014;6;0.003458127
2014;7;0.007491759
2014;8;0.00751041
2014;9;0.010037641
2014;10;0.005918889
2014;11;0.001452855
2014;12;-0.005295227
2015;1;0.022168745
2015;2;0.010986659
2015;3;0.006986098
2015;4;0.005676244
2015;5;0.004877709
2015;6;0.004507316
2015;7;0.01208063
2015;8;0.011800014
2015;9;0.006876095
2015;10;0.00602571
2015;11;0.004259284
2015;12;-0.005500331
2016;1;0.024455254
2016;2;0.016001041
2016;3;0.010371319
2016;4;0.004562159
2016;5;0.009650561
2016;6;0.003998251
2016;7;0.003920105
2016;8;0.005702244
2016;9;0.002465179
2016;10;0.001844338
2016;11;0.000981836
2016;12;-0.005456106
2017;1;0.026012451
2017;2;0.004986482
2017;3;0.006755141
2017;4;0.002197019
2017;5;0.001303472
2017;6;0.00147929
2017;7;0.003190547
2017;8;0.007715413
2017;9;0.005376973
2017;10;0.004592489
2017;11;0.003356287
2017;12;-0.003056693
2018;1;0.027131783
2018;2;0.008786257
2018;3;0.002791581
2018;4;0.000668114
2018;5;0.008123296
2018;6;0.009879132
2018;7;0.005956935
2018;8;0.006736568
2018;9;0.004964654
2018;10;0.002308973
2018;11;0.003642987
2018;12;-0.00384328
2019;1;0.021701854
2019;2;0.009755074
2019;3;0.005505635
2019;4;0.004287412
2019;5;0.003960498
2019;6;0.006404017
2019;7;0.007635919
2019;8;0.008841063
2019;9;0.005157995
2019;10;0.007522917
2019;11;0.004203135
2019;12;-0.00029545
2020;1;0.020933898
2020;2;0.006127274
2020;3;0.013330776
2020;4;0.019969714
2020;5;0.005660202
2020;6;0.000184536
2020;7;0.00548893
2020;8;0.005734208
2020;9;0.006385696
2020;10;0.005801305
2020;11;0.002838861
2020;12;-0.001887216
2021;1;0.016026651
2021;2;0.008241393
2021;3;0.006152494
2021;4;0.005022931
2021;5;0.004563233
2021;6;0.00666234
2021;7;0.005200052
2021;8;0.008507909
2021;9;0.004620798
2021;10;0.010380623
2021;11;0.002547611
2021;12;-0.000999792
2022;1;0.017847463
2022;2;0.01470769
2022;3;0.011062661
2022;4;0.004911748
2022;5;0.004649315
2022;6;0.005853967
2022;7;0.007707432
2022;8;0.008272848
2022;9;0.008398483
2022;10;0.002110919
2022;11;-0.00280021
2022;12;-0.002553296
2023;1;0.015535491
2023;2;0.010033059
2023;3;0.009012279
2023;4;0.007480126
2023;5;-0.000100203
2023;6;-0.004633785
2023;7;-0.003617302
2023;8;0.001719344
2023;9;0.006104922
2023;10;0.006257587
2023;11;0.003431562
2023;12;-0.001053038
2024;1;0.015288836
2024;2;0.006425724
2024;3;0.00020301
2024;4;0.0062851
2024;5;0.003980433
2024;6;0.003562006
2024;7;0.00106516
2024;8;0.002857929
2024;9;0.003747128
2024;10;0.003259124
2024;11;0.00360538
2024;12;0.003374358
2025;1;0.011032182
2025;2;0.006913455
2025;3;0.00567858
2025;4;0.003243164
2025;5;0.001078537
2025;6;-0.000881731
2025;7;0.000541245
