"";"deserta";"educ_jefe";"hermanos";"jmujer";"miembros";"aglomerado";"edad";"ch07";"ch08";"ch10";"ch11";"ch13";"ch14";"nivel_ed";"estado";"cat_ocup";"cat_inac";"intensi";"ingresos_familiares";"ingreso_per_capita";"mujer"
"219";0;4;4;0;6;3;17;5;1;1;1;2;"04";3;3;0;3;NA;82000;13666,67;0
"220";0;4;3;1;5;4;16;5;4;1;1;2;"02";3;3;0;3;NA;25800;5160;1
"221";0;4;2;0;4;4;16;5;1;1;1;2;"03";3;3;0;3;NA;43000;10750;0
"222";0;4;2;0;4;4;14;5;1;1;1;2;"00";3;3;0;3;NA;30000;7500;0
"223";0;2;4;1;6;4;17;5;4;1;1;2;"02";3;3;0;3;NA;58600;9766,67;0
"224";0;2;3;0;6;4;15;5;4;1;1;2;"01";3;3;0;3;NA;42200;7033,33;1
"225";0;6;2;0;4;4;15;5;1;1;2;2;"02";3;3;0;3;NA;0;0;1
"226";0;4;4;1;6;4;19;5;4;2;0;1;"";4;3;0;7;NA;35500;5916,67;1
"227";0;2;2;1;4;4;16;5;4;1;1;2;"02";3;1;2;0;1;9400;2350;1
"228";1;2;3;0;6;4;17;5;4;2;0;2;"03";3;2;2;0;NA;9700;1616,67;0
"229";0;4;2;0;4;4;16;5;1;1;1;2;"02";3;3;0;3;NA;0;0;0
"230";0;4;3;1;4;4;16;5;1;1;1;2;"02";3;3;0;3;NA;0;0;0
"231";0;4;2;0;5;4;16;5;1;1;2;2;"02";3;3;0;3;NA;82000;16400;0
"232";0;4;2;0;5;4;15;5;1;1;2;2;"02";3;3;0;3;NA;82000;16400;0
"233";0;4;2;0;4;4;17;5;1;1;1;2;"04";3;3;0;3;NA;47000;11750;1
"234";0;4;4;0;6;4;15;5;4;1;1;2;"00";3;3;0;3;NA;20000;3333,33;0
"235";0;2;1;0;2;4;16;5;12;1;1;2;"01";3;3;0;3;NA;40000;20000;1
"236";0;7;2;0;4;4;17;5;1;1;2;2;"04";3;3;0;3;NA;58000;14500;0
"237";0;4;2;1;4;4;19;5;4;2;0;1;"";4;2;2;0;NA;0;0;1
"238";0;4;2;1;4;4;18;5;4;1;1;2;"04";3;1;2;0;1;0;0;0
"239";0;4;3;0;5;4;13;5;1;1;2;2;"00";3;3;0;3;NA;50000;10000;1
"240";0;4;2;0;4;4;17;5;1;1;2;2;"04";3;3;0;3;NA;78000;19500;1
"241";0;4;2;1;3;4;17;5;4;1;1;2;"04";3;3;0;3;NA;6500;2166,67;1
"242";0;4;3;1;5;4;18;5;1;1;1;2;"04";3;3;0;3;NA;47000;9400;1
"243";0;4;3;1;5;4;19;5;1;2;0;1;"";4;3;0;4;NA;0;0;1
"244";0;6;2;0;4;4;15;5;1;1;1;2;"02";3;3;0;3;NA;86000;21500;1
"245";0;4;2;1;3;4;16;5;1;1;1;2;"02";3;3;0;3;NA;31600;10533,33;0
"246";0;4;2;0;4;4;17;5;1;1;2;2;"04";3;3;0;3;NA;64000;16000;0
"247";0;4;2;0;4;4;14;5;1;1;2;2;"01";3;3;0;3;NA;64000;16000;1
"248";1;6;4;1;5;4;19;5;1;1;1;2;"03";3;3;0;3;NA;0;0;0
"249";0;6;4;1;5;4;16;5;1;1;1;2;"01";3;3;0;3;NA;0;0;0
"250";0;6;4;1;5;4;15;5;1;1;1;2;"01";3;3;0;3;NA;0;0;1
"251";0;6;2;0;4;4;15;5;1;1;2;2;"02";3;3;0;3;NA;82000;20500;1
"252";1;7;2;0;4;4;19;5;1;1;1;2;"05";3;3;0;3;NA;0;0;0
"253";1;2;3;0;5;4;17;5;4;2;0;2;"03";3;3;0;7;NA;29900;5980;1
"254";0;7;2;0;4;4;15;5;1;1;2;2;"02";3;3;0;3;NA;65000;16250;1
"255";0;6;2;0;4;4;16;5;1;1;2;2;"03";3;3;0;3;NA;48000;12000;1
"256";0;2;3;1;4;4;18;5;4;2;0;1;"";4;3;0;4;NA;0;0;1
"257";0;4;3;1;4;4;16;5;1;1;1;2;"01";3;3;0;3;NA;0;0;1
"258";0;4;3;1;4;4;14;5;1;1;1;2;"01";3;3;0;3;NA;0;0;0
"259";1;2;1;0;3;4;19;5;1;2;0;2;"03";3;3;0;7;NA;32700;10900;1
"260";0;2;5;0;8;4;13;5;2;1;1;2;"00";3;3;0;3;NA;18900;2362,5;1
"261";0;4;3;0;5;4;13;5;1;1;1;2;"01";3;3;0;3;NA;0;0;0
"262";1;4;2;1;3;4;19;5;4;1;1;2;"02";3;3;0;3;NA;6100;2033,33;0
"263";0;2;2;0;4;4;18;5;4;1;1;2;"04";3;3;0;3;NA;0;0;0
"264";0;4;2;0;4;4;17;5;1;1;2;2;"03";3;3;0;3;NA;59000;14750;0
"265";0;7;4;1;5;4;16;5;1;1;1;2;"03";3;3;0;3;NA;20000;4000;1
"266";0;7;4;1;5;4;13;5;1;1;1;2;"01";3;3;0;3;NA;20000;4000;1
"267";0;4;4;1;6;4;16;5;4;1;1;2;"01";3;3;0;3;NA;53400;8900;1
"268";0;4;2;0;4;4;16;5;1;1;1;2;"01";3;3;0;3;NA;38000;9500;0
"269";0;4;2;0;5;4;15;5;1;1;2;2;"02";3;3;0;3;NA;0;0;1
"270";0;4;4;1;5;4;13;5;4;1;1;2;"01";3;3;0;3;NA;35000;7000;1
"271";0;6;1;1;4;4;16;5;4;1;1;2;"03";3;3;0;3;NA;0;0;0
"272";0;4;2;1;4;4;15;5;4;1;2;2;"02";3;3;0;3;NA;35000;8750;1
"273";0;4;2;0;4;4;16;5;12;1;1;2;"01";3;3;0;3;NA;0;0;0
"274";0;7;1;1;2;4;16;5;4;1;1;2;"01";3;3;0;3;NA;0;0;1
"275";0;4;6;0;9;4;17;5;2;1;1;2;"03";3;2;0;0;NA;50000;5555,56;1
