"";"ID";"anio";"mes";"dpto";"region_4";"e26";"e27";"e29_6";"e36";"e49";"e202";"e197_1";"e51_2";"e51_3";"e201_1a";"e201_1b";"e201_1c";"e201_1d";"e51_4_a";"e51_4_b";"e51_5";"e51_6";"e51_8";"e51_9";"e51_10";"e51_11";"e224_1";"f85";"f124_1";"f124_2";"f124_3";"f124_5";"f73";"pobpcoac";"pt1";"pt2";"pt4";"edu";"exp";"lpt1";"lpt4";"exp2"
"89";99;2021;7;1;1;1;49;3;0;1;0;1;6;0;2;0;0;0;2;0;0;0;0;0;0;0;0;40;2;2;2;1;1;2;37500;37500;37500;8;35;10,5320962119585;10,5320962119585;1225
"90";99;2021;7;1;1;2;21;3;5;1;0;1;6;0;1;0;0;2;3;0;0;2;0;0;0;0;0;44;2;2;2;2;1;2;33094;33093,5;33094;11;4;10,4070921674588;10,4070921674588;16
"91";100;2021;7;1;1;2;74;3;0;1;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;2;1;2;1;9;2;28000;1500;1500;2;66;10,2399597891573;7,3132203870903;4356
"92";101;2021;7;1;1;2;57;3;4;1;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;2;1;2;1;9;2;18000;6000;6000;4;47;9,7981270368783;8,69951474821019;2209
"93";101;2021;7;1;1;2;24;3;1;1;0;1;6;0;2;0;0;0;2;0;0;0;0;0;0;0;0;30;2;2;2;2;1;2;13700;12000;12000;8;10;9,52515111181622;9,39266192877014;100
"94";101;2021;7;1;1;1;24;3;5;1;0;1;6;0;2;0;0;0;2;0;0;0;0;0;0;0;0;20;2;2;2;2;9;2;9034;8000;8000;8;10;9,10870623805917;8,98719682066197;100
"95";102;2021;7;1;1;1;41;3;1;1;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;2;2;2;2;9;2;17900;5000;5000;6;29;9,79255599182885;8,51719319141624;841
"96";103;2021;7;1;1;2;34;3;1;1;0;1;6;0;1;0;1;0;3;0;3;0;0;0;0;0;0;45;2;2;2;1;1;2;50094;50093,5;50094;12;16;10,821646538137;10,821646538137;256
"97";104;2021;7;1;1;1;36;1;5;1;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80;2;2;2;2;1;2;24194;15593,5;15594;3;27;10,0938392810253;9,65460943974129;729
"98";107;2021;7;1;1;2;59;3;5;1;0;1;6;0;1;0;1;0;3;0;3;0;3;0;0;0;0;40;2;2;2;1;1;2;48094;48093,5;48094;15;38;10,7809023118271;10,7809023118271;1444
"99";108;2021;7;1;1;2;51;3;0;1;0;1;6;0;1;0;1;0;3;0;3;0;4;2;0;0;0;20;1;2;2;1;2;2;72094;54093,5;54094;18;27;11,1857191666432;10,8984693097419;729
"100";108;2021;7;1;1;1;49;3;0;1;0;1;6;0;1;0;1;0;3;0;3;0;0;0;0;0;0;48;2;2;2;2;1;2;61294;61293,5;61294;12;31;11,023429080413;11,023429080413;961
"101";110;2021;7;1;1;1;37;3;5;1;0;1;6;0;1;0;2;1;3;0;2;3;0;1;0;0;0;45;2;2;2;1;1;2;182194;179693,5;179694;15;16;12,1128245880893;12,0990079007207;256
"102";112;2021;7;1;1;2;41;3;0;1;0;1;6;0;1;0;1;0;3;0;3;0;0;4;2;0;0;45;2;2;2;1;1;2;78094;78093,5;78094;18;17;11,2656621057317;11,2656621057317;289
"103";113;2021;7;1;1;2;52;3;2;1;0;1;6;0;1;1;1;0;3;3;3;0;0;5;0;0;0;35;2;2;2;1;2;2;79094;79093,5;79094;20;26;11,2783859759165;11,2783859759165;676
"104";115;2021;7;1;1;1;47;3;0;1;0;1;6;0;1;0;1;0;3;0;3;0;0;0;0;0;0;48;2;2;1;1;9;2;140000;140000;140000;12;29;11,8493977015914;11,8493977015914;841
"105";116;2021;7;1;1;1;41;1;1;1;0;1;6;0;0;1;2;1;0;3;1;3;0;2;0;0;0;18;2;2;1;1;9;2;25000;25000;25000;15;20;10,1266311038503;10,1266311038503;400
"106";118;2021;7;1;1;1;57;3;1;1;0;1;6;0;1;0;1;0;3;0;3;0;0;3;0;0;0;40;2;2;2;1;1;2;186094;181093,5;181094;15;36;12,134004514562;12,1067687514549;1296
