Referencia;Nombre_jugador;Equipo;Posición;Edad ;Salario;Posicion;Rango_edad
449;Kellan Grady; DEN;PG ;25 ;1017781;Base;2
450;Sacha Killeya-Jones; OKC;PF ;24 ;1017781;ala;2
451;Ryan Rollins; GSW;SG ;20 ;1017781;Escolta;1
452;Trevion Williams; GSW;C ;22 ;1017781;pivot;1
453;Drake Jeffries; ORL;SG ;24 ;1017781;Escolta;2
454;Michael Foster Jr.; PHI;PF ;20 ;1017781;ala;1
455;Tyrese Martin; ATL;SF ;23 ;1017781;Alero;2
456;Jared Rhoden; POR;SG ;23 ;1017781;Escolta;2
457;Jabari Walker; POR;PF ;20 ;1017781;ala;1
458;Max Christie; LAL;SG ;19 ;1017781;Escolta;1
459;Jamaree Bouyea; MIA;PG ;23 ;1017781;Base;2
