referencia;Nombre_Jugador;Equipo ;Posicion;Edad;salario;Rango_edad
501;Mason Jones;HOU;escolta;22;61528;1
502;Devin Cannady;ORL;base;24;61528;2
503;Malik Fitts;LAC;ala;23;61528;2
504;Ignas Brazdeikis;ORL;alero;21;49510;1
505;Cameron Oliver;HOU;ala;24;43070;2
506;Mike James;BKN;base;30;39608;3
507;Cam Reynolds;HOU;alero;25;33299;2
508;Anderson Varejao;CLE;ala;38;33299;5
509;Elijah Bryant;MIL;escolta;25;24611;2
510;Caleb Homesley;WAS;escolta;23;20000;2
511;Charlie Brown Jr.;OKC;escolta;22;19804;1
512;Omer Yurtseven;MIA;pivot;22;18458;1
513;Gary Payton II;GSW;base;27;11898;3
