dog_name,birth_year,gender,breed,zipcode
WINSTON,2005,M,Norfolk Terrier,10128
KINGSTON,2014,M,Pekingese,10037
Q,2007,M,Golden Retriever,11238
BEETHOVEN,2009,M,Cocker Spaniel,11223
PACKARD,2006,M,Labrador Retriever Crossbreed,11365
LUCHIOUS,2006,M,Unknown,10065
CARLY,2010,F,Golden Retriever,11234
LEO,2008,M,Pug,10036
SUKI,2006,F,Lhasa Apso,10065
BENJAMIN,2011,M,Unknown,11229
PINKY,2001,F,Maltese,10003
SCOUT,2005,F,Unknown,11221
ONYX,2010,M,"Poodle, Toy",11207
BENJI,2008,M,Yorkshire Terrier,11239
BEAKER,2011,M,Beagle Crossbreed,10025
CYCLOPSE,2011,M,Shih Tzu,11223
ANNIE,2006,F,Dachshund Smooth Coat Miniature,10036
GRACIE,2012,F,Shih Tzu,11223
ADDISON,2012,F,Poodle,10024
FOXY,2012,F,Shiba Inu,10003
SHELDON,2012,M,"Poodle, Standard",10303
FRENCHIE,2009,M,Chihuahua,10036
KAI,2010,M,German Shepherd Dog,11694
BUDDY,2014,M,Great Dane,10023
BRUNO,2014,M,Newfoundland,10016
CHIP,2013,M,Yorkshire Terrier,10016
LOLA,2011,F,Chihuahua,10128
MOMO,2011,M,Bouvier Des Flandres,11385
SOFIA,2009,F,Bernese Mountain Dog,11238
RIO,2011,M,Shih Tzu,10465
BLACKY,2009,M,American Pit Bull Mix / Pit Bull Mix,11209
KATIE,2009,F,Labrador Retriever Crossbreed,11226
LEAH,2012,F,Labrador Retriever Crossbreed,10002
DUKE,2008,M,Unknown,11374
QQ,2011,M,Unknown,11385
MAXIMUS,2009,M,Cane Corso,10025
BONITA,2013,F,Unknown,11435
RILEY,2004,M,Golden Retriever,11201
LITA,2009,F,Boston Terrier,10002
LAMBO,2011,M,Cavalier King Charles Spaniel,11377
HUDSON,2012,M,Labrador Retriever,10025
FRANK,2012,M,Dachshund Smooth Coat,10036
ZACH,2012,M,Australian Shepherd,10003
ROSA,2013,F,Dachshund Smooth Coat,10011
LULU,2014,F,Miniature Schnauzer,10028
JASPER,2009,M,Pomeranian,11375
LUIGI,2010,M,Pomeranian,10009
ALFIE,2009,M,"Welsh Corgi, Pembroke",10003
PETTITTE,2014,M,Beagle,10003
MAGGIE,2007,F,German Shepherd Crossbreed,10009
BEAR,2013,M,Boston Terrier,11206
CLAMS,2014,F,Boston Terrier,11231
JOSIE,2013,F,Border Collie,11361
MOLLY,2010,F,"Bull Dog, French",10009
LULU,2010,F,"Bull Dog, French",10009
LOCO,2013,M,"Shar-Pei, Chinese",11209
JAMPY,2014,M,American Pit Bull Mix / Pit Bull Mix,10009
ZOE,2003,F,Chihuahua,11101
JOOBE,2007,F,Havanese,10025
COCO,2008,M,"Poodle, Miniature",10128
NYLA,2011,F,Pomeranian,11375
GINGER,2010,F,Unknown,11216
CLARA,2008,F,Chihuahua,10014
TUGBOAT,2008,M,Great Dane,11222
CLEO,2009,F,English Springer Spaniel,11230
SHELDON,2013,M,Irish Terrier,10009
FRANK,2014,M,French Bulldog,10016
HEFNER,2008,M,Pomeranian,10009
ROCKY,2014,M,Labrador Retriever Crossbreed,11691
BUCKET,2009,M,Shih Tzu,10467
ANDY,2011,F,Unknown,11231
NEMO,2014,M,Dachshund Smooth Coat Miniature,11214
TONY,2012,M,Shih Tzu,10016
FRITZ,2008,F,Chihuahua,11201
JACOB,2011,M,Maltese,11211
MURPHY,2008,M,"Poodle, Miniature",10465
FISTIKI,2009,M,Cairn Terrier,10003
TANUKI,2008,F,Unknown,10003
LILY,2011,F,Unknown,10075
SAWYER,2011,M,Unknown,10011
BOOZER,2012,M,Tibetan Terrier,10017
CHANCE,2010,M,Yorkshire Terrier,11201
MOJO,2010,M,Doberman Pinscher,10075
BUSY,2007,F,Chihuahua,11223
PELUCHE,2009,M,Shih Tzu,10463
TINO,2012,M,Maltese,10304
TOUGH,2012,M,Chihuahua,10033
BROWNIE,2010,M,Chihuahua,11223
LIBBY,2009,F,Puggle,11215
COOPER,2009,M,Beagle,10024
OSCAR,2012,M,Yorkshire Terrier,11222
LEO,2008,M,Pomeranian,11105
GORDY,2010,F,Unknown,10460
DAISY,2008,F,Shih Tzu,11106
DEEPAK,2005,M,Unknown,11234
CHARLIE,2013,M,Cavalier King Charles Spaniel,11231
JOEY,2012,M,Poodle,10024
CASEY,2005,F,Labrador Retriever,10075
PAPI,2010,M,Havanese,10282
INNIS,2013,M,Labrador Retriever,11379
HAZEL,2010,F,Unknown,11229
CLEO,2006,F,Maltese,10128
HENRY,2011,M,Poodle,11222
SOPHI,2007,F,Labrador Retriever,11201
HARVEY,2012,F,Cocker Spaniel,11238
MAGGIE,2010,F,Wheaton Terrier,10025
PRINCESS,2001,F,Cocker Spaniel,10463
HALLY,2012,F,German Shepherd Crossbreed,11385
VALLEY,2009,F,Beagle Crossbreed,10451
LEE,2006,F,Chow Chow,10028
CHARLEY,2013,M,Yorkshire Terrier,11220
ELI,2012,M,Yorkshire Terrier,11423
TEDDY,2004,M,Labrador Retriever Crossbreed,10312
CECILY,2014,F,German Shepherd Dog,10460
MIA,2009,F,Maltese,10312
